id,city,date,dl_applied,player_of_match,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner,result
335982,Bangalore,2008-04-18,0,BB McCullum,2008,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Asad Rauf,RE Koertzen,AM Saheba,M Chinnaswamy Stadium,140,0,Kolkata Knight Riders,normal
335983,Chandigarh,2008-04-19,0,MEK Hussey,2008,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,MR Benson,SL Shastri,RB Tiffin,"Punjab Cricket Association Stadium, Mohali",33,0,Chennai Super Kings,normal
335984,Delhi,2008-04-19,0,MF Maharoof,2008,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,GA Pratapkumar,IL Howell,Feroz Shah Kotla,0,9,Delhi Daredevils,normal
335985,Mumbai,2008-04-20,0,MV Boucher,2008,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,SJ Davis,DJ Harper,AV Jayaprakash,Wankhede Stadium,0,5,Royal Challengers Bangalore,normal
335986,Kolkata,2008-04-20,0,DJ Hussey,2008,Kolkata Knight Riders,Deccan Chargers,bat,Deccan Chargers,BF Bowden,K Hariharan,Asad Rauf,Eden Gardens,0,5,Kolkata Knight Riders,normal
335987,Jaipur,2008-04-21,0,SR Watson,2008,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Aleem Dar,RB Tiffin,I Shivram,Sawai Mansingh Stadium,0,6,Rajasthan Royals,normal
335988,Hyderabad,2008-04-22,0,V Sehwag,2008,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,IL Howell,AM Saheba,MR Benson,"Rajiv Gandhi International Stadium, Uppal",0,9,Delhi Daredevils,normal
335989,Chennai,2008-04-23,0,ML Hayden,2008,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,DJ Harper,GA Pratapkumar,BF Bowden,"MA Chidambaram Stadium, Chepauk",6,0,Chennai Super Kings,normal
335990,Hyderabad,2008-04-24,0,YK Pathan,2008,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,Asad Rauf,MR Benson,SL Shastri,"Rajiv Gandhi International Stadium, Uppal",0,3,Rajasthan Royals,normal
335991,Chandigarh,2008-04-25,0,KC Sangakkara,2008,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,Aleem Dar,AM Saheba,RE Koertzen,"Punjab Cricket Association Stadium, Mohali",66,0,Kings XI Punjab,normal
335992,Bangalore,2008-04-26,0,SR Watson,2008,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,MR Benson,IL Howell,GA Pratapkumar,M Chinnaswamy Stadium,0,7,Rajasthan Royals,normal
335993,Chennai,2008-04-26,0,JDP Oram,2008,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,SJ Davis,"MA Chidambaram Stadium, Chepauk",0,9,Chennai Super Kings,normal
335994,Mumbai,2008-04-27,0,AC Gilchrist,2008,Mumbai Indians,Deccan Chargers,field,Deccan Chargers,Asad Rauf,SL Shastri,DJ Harper,Dr DY Patil Sports Academy,0,10,Deccan Chargers,normal
335995,Chandigarh,2008-04-27,0,SM Katich,2008,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,RE Koertzen,I Shivram,Aleem Dar,"Punjab Cricket Association Stadium, Mohali",0,4,Kings XI Punjab,normal
335996,Bangalore,2008-04-28,0,MS Dhoni,2008,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,K Hariharan,M Chinnaswamy Stadium,13,0,Chennai Super Kings,normal
335997,Kolkata,2008-04-29,0,ST Jayasuriya,2008,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,MR Benson,Eden Gardens,0,7,Mumbai Indians,normal
335998,Delhi,2008-04-30,0,GD McGrath,2008,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Aleem Dar,I Shivram,IL Howell,Feroz Shah Kotla,10,0,Delhi Daredevils,normal
335999,Hyderabad,2008-05-01,0,SE Marsh,2008,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,BR Doctrove,RB Tiffin,SJ Davis,"Rajiv Gandhi International Stadium, Uppal",0,7,Kings XI Punjab,normal
336000,Jaipur,2008-05-01,0,SA Asnodkar,2008,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,RE Koertzen,GA Pratapkumar,Asad Rauf,Sawai Mansingh Stadium,45,0,Rajasthan Royals,normal
336001,Chennai,2008-05-02,0,V Sehwag,2008,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,BF Bowden,K Hariharan,MR Benson,"MA Chidambaram Stadium, Chepauk",0,8,Delhi Daredevils,normal
336002,Hyderabad,2008-05-25,0,R Vinay Kumar,2008,Deccan Chargers,Royal Challengers Bangalore,bat,Deccan Chargers,Asad Rauf,RE Koertzen,GA Pratapkumar,"Rajiv Gandhi International Stadium, Uppal",0,5,Royal Challengers Bangalore,normal
336003,Chandigarh,2008-05-03,0,IK Pathan,2008,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,DJ Harper,I Shivram,SJ Davis,"Punjab Cricket Association Stadium, Mohali",9,0,Kings XI Punjab,normal
336004,Mumbai,2008-05-04,0,SM Pollock,2008,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,IL Howell,RE Koertzen,BF Bowden,Dr DY Patil Sports Academy,29,0,Mumbai Indians,normal
336005,Jaipur,2008-05-04,0,Sohail Tanvir,2008,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Asad Rauf,AV Jayaprakash,Aleem Dar,Sawai Mansingh Stadium,0,8,Rajasthan Royals,normal
336006,Bangalore,2008-05-05,0,S Sreesanth,2008,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,SJ Davis,BR Doctrove,SL Shastri,M Chinnaswamy Stadium,0,6,Kings XI Punjab,normal
336007,Chennai,2008-05-06,0,AC Gilchrist,2008,Chennai Super Kings,Deccan Chargers,field,Deccan Chargers,MR Benson,RB Tiffin,S Ravi,"MA Chidambaram Stadium, Chepauk",0,7,Deccan Chargers,normal
336008,Mumbai,2008-05-07,0,A Nehra,2008,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,DJ Harper,RE Koertzen,BF Bowden,Dr DY Patil Sports Academy,0,7,Mumbai Indians,normal
336009,Delhi,2008-05-08,0,MS Dhoni,2008,Delhi Daredevils,Chennai Super Kings,field,Chennai Super Kings,Aleem Dar,RB Tiffin,K Hariharan,Feroz Shah Kotla,0,4,Chennai Super Kings,normal
336010,Kolkata,2008-05-08,0,SC Ganguly,2008,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,Asad Rauf,IL Howell,BR Doctrove,Eden Gardens,5,0,Kolkata Knight Riders,normal
336011,Jaipur,2008-05-09,0,YK Pathan,2008,Rajasthan Royals,Deccan Chargers,field,Rajasthan Royals,MR Benson,AM Saheba,SJ Davis,Sawai Mansingh Stadium,0,8,Rajasthan Royals,normal
336012,Bangalore,2008-05-28,0,CRD Fernando,2008,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,BF Bowden,AV Jayaprakash,BR Doctrove,M Chinnaswamy Stadium,0,9,Mumbai Indians,normal
336013,Chennai,2008-05-10,0,L Balaji,2008,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,AV Jayaprakash,BG Jerling,I Shivram,"MA Chidambaram Stadium, Chepauk",18,0,Chennai Super Kings,normal
336014,Hyderabad,2008-05-11,0,SC Ganguly,2008,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,IL Howell,AM Saheba,BF Bowden,"Rajiv Gandhi International Stadium, Uppal",23,0,Kolkata Knight Riders,normal
336015,Jaipur,2008-05-11,0,SR Watson,2008,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals,SJ Davis,RE Koertzen,MSS Ranawat,Sawai Mansingh Stadium,0,3,Rajasthan Royals,normal
336016,Chandigarh,2008-05-12,0,SE Marsh,2008,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,BR Doctrove,I Shivram,Jasbir Singh,"Punjab Cricket Association Stadium, Mohali",0,9,Kings XI Punjab,normal
